   0  -32   46  -35   39  119  -76   22  10627
  40  -90   43  115   30  125 -127   77 -30703
  93  104   19 -114  100  -57  -20  -50  13114
-105  -92 -114  -33   -8   29  -27  -18  15237
 126    8   84  -84   -4 -123  -98   60 -10218
 -47  119  -30   25   66  -20   81  -59 -22832
-122  -62  -21   41  -26   19  -30    5 -10015
  53   31  -74  -51   27   79  -18    5  22381
 -47  -83  -61   55  -41   82  107   61  16666
  79   85   63  110  101  -66   90    8  12660
 101   64   93   78  123  125  107    0 -15242
  11  -68   18  -26  -35   12  -72   88 -11098
  89   89  -21   17   64  126   47   26 -21380
  17   86   80  -38  -28  101   34    6   -259
 109 -116   -4   35  109  -71   -6   22   9582
 -10  -48   -9  117 -117  -37   83  102  -4904
-109  -51  107  -61  -17  -45  -15   89 -21874
 100  -20  -71  102  -34   82 -105  -24 -20292
-113    2   90  -45  107  -86  -42  114  -7155
  96   49  -22  -96    2  -78  -12   78   7569
 -27  -33 -117  -92  -21 -102  -41  121   1439
 -13 -104  -53  -39   28 -115  -71  -62   8154
   5  102  -15  -23  104   23  -54  125 -21450
  -7   87  -33  123   83 -113  -93  -12   8665
 -49  -31  -36  -47  -24   -7 -118   77  18709
  77  -11  -87  -79  -11  -71   12 -116  26454
  42   26   41   34   27   29   81   55  -4889
 -45  -71   69   89 -106  -80  -49 -119  29479
-107  -30  -57   58   -9 -110   42   24  16319
 -91  -33  119  -89  103  -52   74  109  -7126
  30   72    8  -39   99   80  -57   34  20412
 -13   29  -81  -61  -40   13   90   72 -11738
 -12  102  103   64   27   36  -91   -7  -1954
   7  -98 -126  -54   28  -30   74  126 -19237
  23 -127  -77   80  119  126  -69    6  16713
  59   82   69  -34   32 -104  123   65  14679
-116  -29 -110   94  -29   85   76 -108  15629
  55  -27  -20  -55 -115    1 -105   16  12571
 -67  -66  -55 -111  -81   29  125   62  -4942
 -85 -121  -69   34 -121  -15 -116 -123  -6935
 127  -86  -42  -55  -99  115  122  112   7066
 116  123  -70   11 -118 -102  -77 -100  31172
  99  -59   64   25   69   69  125   74 -16305
 -11   66    0  -76   85   22   22 -106 -12573
 -11  127   80 -115   58  -48  -77   10  -8603
  89  111   82  -92   75  -84  113  -29  -6944
 110   98   78    0  -28  -68 -115   89  -6994
 -44  -96   98   63  -99   44   66  -22  13814
-120 -106  -79  -98  123  127  119 -116 -27930
  11  -89  -43   72   88  -32  112  -25 -27407
  83  -15  122  103   89   18   50 -115 -13607
 -88  109   93  -92   82   -3  116  -44   4871
  63  -88   70   70 -127  -96   73  -95 -32152
 123   33  -44  -52  103  -22   32  -56  -8139
 -11  -79  115   81  -57   46    0   38 -26571
  68  -88   83   86  -52   60  -70   69 -23327
  42  -33   96   -5   84   -2   20  105  15128
 -27  -54   76   78    3   24  -52   39  -6626
 -63   82   64  -83  -88   99   51  -50  16325
 -18   23   83   55   50   48   85 -110  -6401
 -74   75  113 -122 -127   36  -15  -15 -30469
 -52  -79  119   41   29  -38   45   35 -32071
 -30  -63  -35   63 -120  -28    9   72  -6088
-119   -7  -60   93   68  -50 -122   72   5112
  82   24   49    4  -41   64    6  -68  30697
 -83  124   80   54  -53   32  -25  126  20785
 -32   30  -26   39   57   45 -125  -85  32662
 -39  117   11 -126 -126  -16  -20  -73  10608
-127  -54  -74  -98  115  103  104   71  21278
  24  119  -42 -121  109  101    5   26 -21964
   6   92  101   61  -21   66  -98  109 -20256
  99   86    0 -122   25   48 -118   56  24857
 104 -100  -72 -109 -103 -111   83 -122 -22912
 113    5   -8  -88  109  -63  -50  -52 -20377
 -30  127   80   -9  123  -49   25  -16  27514
  91  -78   90   90  -98    3   85   93  15277
  -5  -35   -8  104    9  -14 -118   79  16169
   8  100  -78   -1  -50   88    4   46 -17747
 -62  115  -26   14  -58   11  112   76  22468
-102 -106   80  -95    9  -77  -36 -123  -4505
 -39   96 -111   89   83  -13  -60  -82 -22436
 -51 -125  -64  -16  -54    0  116   -1  26981
  -9  -13  -23   40  115  110   11 -120  24999
-113  -60  -92  -20   97   67  -32   20  -1312
 -16  -46 -119  -31  -38   -7  113   25  12136
  66  -43  110  -62  -73  111  -39  -77   4977
  63  118  -28  -84  102  -95   77 -121  13692
  49  -83  -46  -31  -93   99 -126   55 -26397
-123   31 -121  -20  126   64   56   -8  -8541
  -1  -20   -9  126   95   87    5   59  22309
 -77   27 -127 -119  -40   40   23   76  16673
 -38   40   27  -87   66    5   68 -124  18704
  53   40   -4  -99   45  110   -1    2    785
 101   64  102   67 -108  -75  -51   48 -28435
 125   13   27 -100  -46  -76   81  -24 -20335
   5 -104  -94  124  -46  -91   21  -56 -15133
-122  -16   21   38   75  -85  -38   92  10182
  80  -18    1   61   40   65   35  -25  -9528
  78   91   10  -16   -6   44 -108   48  -4899
 121   -1  -38  -98  -57  -23   38  114 -31226
